gcf	phylum
GCF900116935	Firmicutes
GCF001592125	Actinobacteria
GCF000969605	Proteobacteria
GCF002210095	not_annotated
GCF000019345	Tenericutes
GCF001463885	Proteobacteria
GCF000427625	Proteobacteria
GCF900162665	Firmicutes
GCF000010305	not_annotated
GCF000509365	Proteobacteria
GCF000175215	Proteobacteria
GCF000807275	Proteobacteria
GCF000192575	Proteobacteria
GCF002013915	Bacteroidetes
GCF000744735	Proteobacteria
GCF001584185	Proteobacteria
GCF900113375	Bacteroidetes
GCF001652485	Proteobacteria
GCF001419695	not_annotated
GCF000702485	Firmicutes
GCF900129495	Actinobacteria
GCF000487995	Deferribacteres
GCF000758665	Firmicutes
GCF000015285	Proteobacteria
GCF001941825	Proteobacteria
GCF000733125	Proteobacteria
GCF000488855	Firmicutes
GCF900105255	Proteobacteria
GCF000426645	Actinobacteria
GCF000709085	Firmicutes
GCF000718085	Actinobacteria
GCF900115655	Proteobacteria
GCF000761445	Proteobacteria
GCF000954135	Proteobacteria
GCF000568815	Proteobacteria
GCF900177475	Proteobacteria
GCF000014445	Firmicutes
GCF000231445	Proteobacteria
GCF000964365	not_annotated
GCF000259275	Proteobacteria
GCF000428885	not_annotated
GCF000986785	Firmicutes
GCF900120375	not_annotated
GCF900104945	Proteobacteria
GCF000445475	Proteobacteria
GCF001654915	Proteobacteria
GCF000226215	Actinobacteria
GCF001007995	Deinococcus-Thermus
GCF900115705	Proteobacteria
GCF000745965	not_annotated
GCF000981765	Proteobacteria
GCF000018665	Proteobacteria
GCF001594005	Firmicutes
GCF001941345	Actinobacteria
GCF002073715	Proteobacteria
GCF002115725	Proteobacteria
GCF900142365	Actinobacteria
GCF002209165	Firmicutes
GCF000982825	Proteobacteria
GCF000425425	Bacteroidetes
GCF000019845	Proteobacteria
GCF000020625	Chlorobi
GCF000166135	Actinobacteria
GCF001653335	Actinobacteria
GCF000365025	Proteobacteria
GCF002020805	Proteobacteria
GCF001432245	Firmicutes
GCF001420285	Bacteroidetes
GCF000497245	Firmicutes
GCF000717025	Actinobacteria
GCF000306785	Actinobacteria
GCF001005215	Proteobacteria
GCF900167475	Actinobacteria
GCF000023225	Proteobacteria
GCF001029285	Firmicutes
GCF000336555	Proteobacteria
GCF000688255	Proteobacteria
GCF001420715	Firmicutes
GCF001021025	Actinobacteria
GCF000385335	Proteobacteria
GCF000196395	Proteobacteria
GCF000712035	Firmicutes
GCF001704155	Proteobacteria
GCF000178815	Proteobacteria
GCF000154725	Bacteroidetes
